OBJECTID,GEOID10,employment,MBG_Diamet,trtID,res_worker,Shape_Length,Shape_Area
57,22033003604,1875.000000000000000,2980.102370969999800,57,2500.000000000000000,7587.020141540174300,3049763.758691370500000
58,22033003701,2350.000000000000000,3504.731416229999900,58,2855.000000000000000,9153.436841512131700,4966163.148913750400000
59,22033003702,1100.000000000000000,2810.314921860000100,59,1925.000000000000000,7323.853235546361200,2623644.666771730400000
60,22033003703,1205.000000000000000,3555.057962899999900,60,2935.000000000000000,9047.997349729892400,5083580.595896736700000
61,22033003801,16575.000000000000000,4958.172688400000000,61,3500.000000000000000,13700.284453591668000,11110696.901772285000000
62,22033003802,7615.000000000000000,5464.526025639999700,62,3455.000000000000000,12036.421272310958000,5337984.400098465400000
63,22033003804,10215.000000000000000,3428.196657949999900,63,2530.000000000000000,9283.468691806174300,5222220.737754367300000
64,22033003805,5665.000000000000000,4217.484547390000400,64,3325.000000000000000,11845.031271857117000,8103940.077556454600000
65,22033003904,845.000000000000000,3888.971608710000100,65,3505.000000000000000,9083.508910234941100,3150852.687796557300000
66,22033003906,3815.000000000000000,3851.657464049999800,66,4770.000000000000000,10654.767781337232000,6253624.424483406400000
67,22033003907,3025.000000000000000,2969.956944260000000,67,3190.000000000000000,8467.046916988550900,3608382.723774099700000
68,22033003908,1490.000000000000000,3700.175501669999900,68,2245.000000000000000,10728.895488422115000,5790865.077952522800000
69,22033003909,3450.000000000000000,3121.077125809999900,69,2505.000000000000000,8662.659715551397300,3570024.648060632400000
70,22033003910,5120.000000000000000,2934.412333379999800,70,1720.000000000000000,7949.045397985656600,2546037.487575362000000
71,22033004005,3650.000000000000000,4098.192885589999600,71,3110.000000000000000,10638.680426644254000,5995472.617767439200000
72,22033004006,4165.000000000000000,4288.433978910000400,72,4500.000000000000000,11754.066394360614000,8178728.377268499700000
73,22033004009,13745.000000000000000,8729.610498329999200,73,3985.000000000000000,24546.668490391156000,22708749.110174302000000
74,22033004010,670.000000000000000,3139.071446420000000,74,2585.000000000000000,8484.206450775749500,4258777.159427014200000
75,22033004011,1120.000000000000000,6374.779573580000000,75,2340.000000000000000,17998.896551572270000,18910868.980695385000000
76,22033004013,905.000000000000000,4071.506636380000100,76,1680.000000000000000,9818.152580811363800,5090037.752172906000000
77,22033004014,1485.000000000000000,8838.900442930000300,77,5525.000000000000000,27582.663896203609000,33542001.030355643000000
78,22033004015,375.000000000000000,4201.263296350000000,78,4470.000000000000000,10031.041612265501000,4172219.827495222400000
79,22033004016,1335.000000000000000,13246.354395400000000,79,3390.000000000000000,33252.913569618642000,42033006.047615759000000
80,22033004201,1335.000000000000000,5904.868297260000000,80,2600.000000000000000,15452.700556266227000,13577305.179163858000000
81,22033004203,1625.000000000000000,8419.772930130000500,81,1445.000000000000000,21922.754853521714000,24753231.313234910000000
82,22033004204,875.000000000000000,6010.971080520000200,82,1845.000000000000000,16057.848462593765000,15132354.102501130000000
83,22033004205,975.000000000000000,4278.399407879999700,83,2565.000000000000000,10275.026525028941000,4815626.868696311500000
84,22033004301,825.000000000000000,13223.565811600000000,84,3130.000000000000000,36827.790341262546000,61107092.882091448000000
85,22033004302,695.000000000000000,8931.743239760000500,85,3010.000000000000000,26592.449111214413000,31787030.183797941000000
86,22033004401,630.000000000000000,7076.514903330000400,86,2675.000000000000000,20959.209560844331000,23679020.361875378000000
