OBJECTID,AREA,TAZ,POPU,WORK,EMP,Length
375,46295.74,35,59,0,92,901.47
376,38720.24,61,50,11,255,882.13
377,46077.83,62,93,35,62,896.82
378,151858.27,62A,0,0,33,2145.59
379,131210.87,7109,585,203,77,1502.23
380,103796.59,7122,350,138,48,1298.76
381,124989.26,7105,463,180,176,1481.62
382,84008.54,7107,470,164,213,1572.63
383,125725.94,7108,751,222,246,1709.02
384,135615.92,7110,625,159,92,1485.58
385,149890.98,7106,222,30,3130,1624.74
386,96242.61,36,228,56,315,1493.28
387,97772.53,60,116,34,323,1853.31
388,50033.25,63,666,86,192,1433.31
389,68715.9,70,0,0,4,1479.59
390,210514.8,71,0,0,471,1984.69
391,61984.88,3,0,0,958,1723.24
392,109422.44,32,0,0,79,1388.49
393,96653.73,31,0,0,312,1746.25
394,163101.69,30,0,0,4196,2382.31
395,74458.07,4,0,0,2704,1312.33
396,24189.33,29,0,0,502,607.91
397,856900.81,5118,3593,1486,962,3766.86
398,380040.36,5115,1434,749,225,2465.24
399,608677.25,5121,3077,801,422,3663.76
400,319437.73,5125,640,183,486,2513.44
401,370994.81,5203,0,0,862,2765.07
402,379095.87,5120,1302,259,299,2887.48
403,217008.87,5202,0,0,419,2442.16
404,223518.88,5116,913,560,413,1893.86
405,440373.58,5122A,111,0,226,3042.32
406,268073.04,5114,1178,353,51,2302.32
407,582866.84,5119,1664,529,1370,3286.37
408,55336.22,40,0,0,313,938.13
409,34719.23,41,59,43,3567,765.8
410,21488.5,53,5,0,905,587.12
411,44917.61,49,0,0,1021,905.13
412,191357.89,5105,0,0,261,2698.73
413,179661.17,11,54,0,1117,2011.94
414,80347.46,48,161,114,438,1162.23
415,63409.28,13,132,71,115,1063.76
416,109747.66,14,50,31,881,1318.12
417,52741.09,44,5,5,209,1000.86
418,78544.46,45,412,314,150,1147.29
419,128107.95,3121,531,215,55,1494.57
420,20110.83,12,0,0,1248,567.79
421,161085.84,69,14,0,313,1709.82
422,356025.94,5106,1352,888,444,2486.45
423,82816.01,46,159,115,378,1169.27
424,174975.14,3123,358,116,694,1800.52
425,270989.07,3136,167,55,101,2432.4
426,143794.51,5107,640,421,90,1627.01
427,134993.49,50,267,44,988,1488.72
428,121773.36,5103,263,183,763,1508.37
429,212663.63,5104,674,516,583,1922.42
430,165072.88,68,241,211,1504,1629.93
431,206126.23,5108,849,664,314,1951.79
432,34435.66,54,14,0,2591,766.6
